URL,City,Historic/New,Primary Intent,Hero Unique,Local Intro,Local Services,Local Sectors,Local Context,Local Coverage,Local FAQ,Unique CTA,Relevant Images,Internal Links,Rendered Similarity,SEO Status,Visual Status
"https://www.entirefm.com/doncaster-facilities-management","Doncaster","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/external-cleaning-birmingham","Birmingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/external-cleaning-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/external-cleaning-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/external-cleaning-manchester","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-birmingham","Birmingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-bolton","Bolton","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-bradford","Bradford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-bury","Bury","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-chesterfield","Chesterfield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-derby","Derby","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-doncaster","Doncaster","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-grimsby","Grimsby","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-in-telford","Telford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-in-the-midlands","Midlands","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-leeds","Leeds","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-liverpool","Liverpool","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-london","London","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-manchester","Manchester","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-midlands","Midlands","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","128","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-nottingham","Nottingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-oxford","Oxford","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-preston","Preston","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-rotherham","Rotherham","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-sheffield","Sheffield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-telford","Telford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/facilities-management-wigan","Wigan","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-birmingham","Birmingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-bolton","Bolton","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-bradford","Bradford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-bury","Bury","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-chesterfield","Chesterfield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-derby","Derby","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-doncaster","Doncaster","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-grimsby","Grimsby","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-leeds","Leeds","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-liverpool","Liverpool","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-london","London","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-manchester","Manchester","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-matlock","Matlock","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","128","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-nottingham","Nottingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-oxford","Oxford","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-preston","Preston","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-rotherham","Rotherham","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-services-sheffield","Sheffield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-sheffield","Sheffield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-telford","Telford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/fm-wigan","Wigan","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/grimsby-facilities-management","Grimsby","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-birmingham","Birmingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-chesterfield","Chesterfield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-derby","Derby","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-leeds","Leeds","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-manchester","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-nottingham","Nottingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-cleaning-sheffield","Sheffield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/industrial-fm-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/leeds-facilities-management","Leeds","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/lincoln-facilities-management","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/lincoln-facilities-management-areas","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/liverpool-facilities-management","Liverpool","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/locations","Regional","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","178","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/london-facilities-management","London","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/london-facilities-management-areas","London","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/manchester-facilities-management","Manchester","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/manchester-office-cleaning","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/nottingham-facilities-management","Nottingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/office-cleaning-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/office-cleaning-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/oxford-facilities-management","Oxford","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/pressure-washing-birmingham","Birmingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/pressure-washing-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/pressure-washing-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/pressure-washing-manchester","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/pressure-washing-sheffield","Sheffield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/preston-facilities-management","Preston","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/residential-fm-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/retail-fm-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/rotherham-facilities-management","Rotherham","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/sheffield","Sheffield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","128","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/sheffield-facilities-management","Sheffield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/telford-facilities-management","Telford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/wigan-facilities-management","Wigan","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
