Exact Historic URL,Path,Wix Generation 1,Wix Generation 2,Historic Evidence,Historic Page Type,Historic Title,Historic H1,Historic Search Intent,Current Production Status,Current Canonical,Redirecting?,Final Required Behaviour,Content Status,QA Status
"https://www.entirefm.com/arena-facilities-management-1","/arena-facilities-management-1","YES","YES","LEGACY_VERIFIED","undefined","Arena &amp; Venue Facilities Management | EntireFM","Arena and Live Venue Facilities Management High-Capacity Crowds &amp; Event Readiness","undefined - arena facilities management 1","200 OK","https://www.entirefm.com/arena-facilities-management-1","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/best-facilities-management-company","/best-facilities-management-company","YES","YES","wix-generation-1","undefined","Best Facilities Management Company | Facilities Management &amp; Engineering | Entire FM","Best Facilities Management Company — Facilities Management &amp; Engineering","undefined - best facilities management company","200 OK","https://www.entirefm.com/best-facilities-management-company","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/birmingham-facilities-management","/birmingham-facilities-management","RECOVERED","RECOVERED","mandatory-historic-directive","undefined","Birmingham Facilities Management | Multi-Site Estates | EntireFM","Birmingham Facilities Management for Multi-Site Estates","undefined - birmingham facilities management","200 OK","https://www.entirefm.com/birmingham-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/blog","/blog","YES","YES","wix-generation-2","undefined","Blog | Facilities Management &amp; Compliance Insight | EntireFM","Facilities Management Insights","undefined - blog","200 OK","https://www.entirefm.com/blog","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/bocker-crane-hire","/bocker-crane-hire","YES","YES","wix-generation-2","undefined","Bocker Crane Hire | Facilities Management &amp; Engineering | Entire FM","Bocker Crane Hire — Facilities Management &amp; Engineering","undefined - bocker crane hire","200 OK","https://www.entirefm.com/bocker-crane-hire","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/bradford-facilities-management","/bradford-facilities-management","RECOVERED","RECOVERED","mandatory-historic-directive","undefined","Bradford Facilities Management | Multi-Site Estates | EntireFM","Bradford Facilities Management for Multi-Site Estates","undefined - bradford facilities management","200 OK","https://www.entirefm.com/bradford-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/building-inspecting-testing","/building-inspecting-testing","YES","YES","wix-generation-2","undefined","Building Inspecting Testing | Facilities Management &amp; Engineering | Entire FM","Building Inspecting Testing — Facilities Management &amp; Engineering","undefined - building inspecting testing","200 OK","https://www.entirefm.com/building-inspecting-testing","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/building-maintenance","/building-maintenance","YES","YES","wix-generation-1","undefined","Commercial Building Fabric Maintenance | Property Repairs | Entire FM","Commercial Building Fabric Maintenance &amp; Repairs","undefined - building maintenance","200 OK","https://www.entirefm.com/building-maintenance","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/building-walk","/building-walk","RECOVERED","RECOVERED","LEGACY_PROTECTED_BY_DIRECTIVE","undefined","The Building Walk | Visual Site &amp; Plantroom Inspection Series | Entire FM","Building Walk: Visual Plantroom &amp; Estate Inspection Guides","undefined - building walk","200 OK","https://www.entirefm.com/building-walk","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/caretaker","/caretaker","YES","YES","wix-generation-1","undefined","On-Site Caretaker &amp; Building Warden Services | Entire FM","On-Site Caretaking &amp; Building Warden Services","undefined - caretaker","200 OK","https://www.entirefm.com/caretaker","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/carpark-management","/carpark-management","YES","YES","wix-generation-1","undefined","Carpark Management | Facilities Management &amp; Engineering | Entire FM","Carpark Management — Facilities Management &amp; Engineering","undefined - carpark management","200 OK","https://www.entirefm.com/carpark-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/chesterfield","/chesterfield","YES","YES","LEGACY_VERIFIED","undefined","Crane Hire Chesterfield | Contract Lifts | EntireFM","Crane Hire in Chesterfield","undefined - chesterfield","200 OK","https://www.entirefm.com/chesterfield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/chesterfield-facilities-management","/chesterfield-facilities-management","RECOVERED","RECOVERED","mandatory-historic-directive","undefined","Chesterfield Facilities Management | Multi-Site Estates | EntireFM","Chesterfield Facilities Management for Multi-Site Estates","undefined - chesterfield facilities management","200 OK","https://www.entirefm.com/chesterfield-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/cleaning-services","/cleaning-services","YES","YES","wix-generation-1","undefined","Cleaning Services | Facilities Management &amp; Engineering | Entire FM","Cleaning Services — Facilities Management &amp; Engineering","undefined - cleaning services","200 OK","https://www.entirefm.com/cleaning-services","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/client-login","/client-login","YES","YES","wix-generation-2","undefined","Client Login | Facilities Management &amp; Engineering | Entire FM","Client Login — Facilities Management &amp; Engineering","undefined - client login","200 OK","https://www.entirefm.com/client-login","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/client-login/account-registration","/client-login/account-registration","YES","YES","wix-generation-2","undefined","Client Login/Account Registration | Facilities Management &amp; Engineering | Entire FM","Client Login/Account Registration — Facilities Management &amp; Engineering","undefined - client login/account registration","200 OK","https://www.entirefm.com/client-login/account-registration","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-birmingham","/commercial-cleaning-birmingham","YES","YES","wix-generation-1","undefined","Commercial Cleaning Birmingham | Commercial Specialist Services | Entire FM","Commercial Cleaning in Birmingham &amp; Surrounding Districts","undefined - commercial cleaning birmingham","200 OK","https://www.entirefm.com/commercial-cleaning-birmingham","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-chesterfield","/commercial-cleaning-chesterfield","YES","YES","wix-generation-1","undefined","Commercial Cleaning Chesterfield | Commercial Specialist Services | Entire FM","Commercial Cleaning in Chesterfield &amp; Surrounding Districts","undefined - commercial cleaning chesterfield","200 OK","https://www.entirefm.com/commercial-cleaning-chesterfield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-leeds","/commercial-cleaning-leeds","YES","YES","wix-generation-1","undefined","Commercial Cleaning Leeds | Commercial Specialist Services | Entire FM","Commercial Cleaning in Leeds &amp; Surrounding Districts","undefined - commercial cleaning leeds","200 OK","https://www.entirefm.com/commercial-cleaning-leeds","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-lincoln","/commercial-cleaning-lincoln","YES","YES","wix-generation-1","undefined","Commercial Cleaning Lincoln | Commercial Specialist Services | Entire FM","Commercial Cleaning in Lincoln &amp; Surrounding Districts","undefined - commercial cleaning lincoln","200 OK","https://www.entirefm.com/commercial-cleaning-lincoln","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-london","/commercial-cleaning-london","YES","YES","wix-generation-1","undefined","Commercial Cleaning London | Commercial Specialist Services | Entire FM","Commercial Cleaning in London &amp; Surrounding Districts","undefined - commercial cleaning london","200 OK","https://www.entirefm.com/commercial-cleaning-london","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-manchester","/commercial-cleaning-manchester","YES","YES","wix-generation-1","undefined","Commercial Cleaning Manchester | Commercial Specialist Services | Entire FM","Commercial Cleaning in Manchester &amp; Surrounding Districts","undefined - commercial cleaning manchester","200 OK","https://www.entirefm.com/commercial-cleaning-manchester","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-nottingham","/commercial-cleaning-nottingham","YES","YES","wix-generation-1","undefined","Commercial Cleaning Nottingham | Commercial Specialist Services | Entire FM","Commercial Cleaning in Nottingham &amp; Surrounding Districts","undefined - commercial cleaning nottingham","200 OK","https://www.entirefm.com/commercial-cleaning-nottingham","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-cleaning-sheffield","/commercial-cleaning-sheffield","YES","YES","wix-generation-1","undefined","Commercial Cleaning Sheffield | Commercial Specialist Services | Entire FM","Commercial Cleaning in Sheffield &amp; Surrounding Districts","undefined - commercial cleaning sheffield","200 OK","https://www.entirefm.com/commercial-cleaning-sheffield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-facilities-management","/commercial-facilities-management","YES","YES","wix-generation-1-and-2","undefined","Commercial Facilities Management | Facilities Management &amp; Engineering | Entire FM","Commercial Facilities Management — Facilities Management &amp; Engineering","undefined - commercial facilities management","200 OK","https://www.entirefm.com/commercial-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/commercial-fm-lincoln","/commercial-fm-lincoln","YES","YES","wix-generation-1","undefined","Commercial Fm Lincoln | Facilities Management &amp; Engineering | Entire FM","Commercial Fm Lincoln — Facilities Management &amp; Engineering","undefined - commercial fm lincoln","200 OK","https://www.entirefm.com/commercial-fm-lincoln","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/concierge-services","/concierge-services","YES","YES","wix-generation-1","undefined","Corporate Concierge &amp; Front-of-House Reception Services | Entire FM","Corporate Concierge &amp; Front-of-House Reception Services","undefined - concierge services","200 OK","https://www.entirefm.com/concierge-services","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/construction-facilities-management","/construction-facilities-management","YES","YES","wix-generation-1","undefined","Construction Facilities Management | Facilities Management &amp; Engineering | Entire FM","Construction Facilities Management — Facilities Management &amp; Engineering","undefined - construction facilities management","200 OK","https://www.entirefm.com/construction-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contact-us","/contact-us","YES","YES","wix-generation-2","undefined","Contact Us | Facilities Management &amp; Engineering | Entire FM","Let&#x27;s Talk About Your Estate.","undefined - contact us","200 OK","https://www.entirefm.com/contact-us","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning","/contract-cleaning","YES","YES","wix-generation-1","undefined","Contract Cleaning | Facilities Management &amp; Engineering | Entire FM","Contract Cleaning — Facilities Management &amp; Engineering","undefined - contract cleaning","200 OK","https://www.entirefm.com/contract-cleaning","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-chesterfield","/contract-cleaning-chesterfield","YES","YES","wix-generation-1","undefined","Contract Cleaning Chesterfield | Commercial Specialist Services | Entire FM","Contract Cleaning in Chesterfield &amp; Surrounding Districts","undefined - contract cleaning chesterfield","200 OK","https://www.entirefm.com/contract-cleaning-chesterfield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-leeds","/contract-cleaning-leeds","YES","YES","wix-generation-1","undefined","Contract Cleaning Leeds | Commercial Specialist Services | Entire FM","Contract Cleaning in Leeds &amp; Surrounding Districts","undefined - contract cleaning leeds","200 OK","https://www.entirefm.com/contract-cleaning-leeds","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-lincoln","/contract-cleaning-lincoln","YES","YES","wix-generation-1","undefined","Contract Cleaning Lincoln | Commercial Cleaning Contractors | Entire FM","Contract Commercial Cleaning in Lincoln","undefined - contract cleaning lincoln","200 OK","https://www.entirefm.com/contract-cleaning-lincoln","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-london","/contract-cleaning-london","YES","YES","wix-generation-1","undefined","Contract Cleaning London | Commercial Office &amp; Estate Cleaning | Entire FM","Contract Commercial Cleaning in London","undefined - contract cleaning london","200 OK","https://www.entirefm.com/contract-cleaning-london","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-manchester","/contract-cleaning-manchester","YES","YES","wix-generation-1","undefined","Contract Cleaning Manchester | Commercial Cleaning Services | Entire FM","Contract Commercial Cleaning in Manchester","undefined - contract cleaning manchester","200 OK","https://www.entirefm.com/contract-cleaning-manchester","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/contract-cleaning-sheffield","/contract-cleaning-sheffield","YES","YES","wix-generation-1","undefined","Contract Cleaning Sheffield | Commercial Specialist Services | Entire FM","Contract Cleaning in Sheffield &amp; Surrounding Districts","undefined - contract cleaning sheffield","200 OK","https://www.entirefm.com/contract-cleaning-sheffield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/copy-of-helpdesk-registration","/copy-of-helpdesk-registration","YES","YES","wix-generation-1","undefined","Copy Of Helpdesk Registration | Facilities Management &amp; Engineering | Entire FM","Copy Of Helpdesk Registration — Facilities Management &amp; Engineering","undefined - copy of helpdesk registration","200 OK","https://www.entirefm.com/copy-of-helpdesk-registration","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/copy-of-industrial-cleaning","/copy-of-industrial-cleaning","YES","YES","wix-generation-1","undefined","Specialist Industrial Cleaning Services | Factory Sanitisation | Entire FM","Specialist Industrial &amp; Heavy Plant Cleaning","undefined - copy of industrial cleaning","200 OK","https://www.entirefm.com/copy-of-industrial-cleaning","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/copy-of-what-is-facilities-manageme","/copy-of-what-is-facilities-manageme","YES","YES","wix-generation-1","undefined","Copy Of What Is Facilities Manageme | Facilities Management &amp; Engineering | Entire FM","Copy Of What Is Facilities Manageme — Facilities Management &amp; Engineering","undefined - copy of what is facilities manageme","200 OK","https://www.entirefm.com/copy-of-what-is-facilities-manageme","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/derby-facilities-management","/derby-facilities-management","RECOVERED","RECOVERED","mandatory-historic-directive","undefined","Derby Facilities Management | Multi-Site Estates | EntireFM","Derby Facilities Management for Multi-Site Estates","undefined - derby facilities management","200 OK","https://www.entirefm.com/derby-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/education-cleaning","/education-cleaning","YES","YES","wix-generation-1","undefined","Education Cleaning Services | School &amp; College Contract Cleaning | Entire FM","Educational Campus &amp; School Term-Time Contract Cleaning","undefined - education cleaning","200 OK","https://www.entirefm.com/education-cleaning","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/education-facilities-management","/education-facilities-management","YES","YES","wix-generation-1","undefined","Education Facilities Management | School &amp; University FM | Entire FM","Education Facilities Management &amp; Campus Building Services Safeguarding, Statutory Safety &amp; Term-Time Agility","undefined - education facilities management","200 OK","https://www.entirefm.com/education-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/emergency-light-testing","/emergency-light-testing","YES","YES","LEGACY_VERIFIED","undefined","Emergency Lighting Testing | Monthly &amp; Annual | EntireFM","Emergency Lighting Testing and Certification","undefined - emergency light testing","200 OK","https://www.entirefm.com/emergency-light-testing","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/employment-portal","/employment-portal","YES","YES","wix-generation-1","undefined","Employment Portal | Facilities Management &amp; Engineering | Entire FM","Engineering Careers Built on High Standards &amp; Professional Pride","undefined - employment portal","200 OK","https://www.entirefm.com/employment-portal","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/external-cleaning-birmingham","/external-cleaning-birmingham","YES","YES","wix-generation-1","undefined","Contract Cleaning Birmingham | Commercial Specialist Services | Entire FM","Contract Cleaning in Birmingham &amp; Surrounding Districts","undefined - external cleaning birmingham","200 OK","https://www.entirefm.com/external-cleaning-birmingham","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/external-cleaning-lincoln","/external-cleaning-lincoln","YES","YES","wix-generation-1","undefined","External Cleaning Lincoln | Cladding &amp; Grounds Jet Washing | Entire FM","External Grounds, Cladding &amp; Pressure Cleaning in Lincoln","undefined - external cleaning lincoln","200 OK","https://www.entirefm.com/external-cleaning-lincoln","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/external-cleaning-london","/external-cleaning-london","YES","YES","wix-generation-1","undefined","External Cleaning London | Facade &amp; Cladding Jet Washing | Entire FM","External Facade, Cladding &amp; Grounds Cleaning in London","undefined - external cleaning london","200 OK","https://www.entirefm.com/external-cleaning-london","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/external-cleaning-manchester","/external-cleaning-manchester","YES","YES","wix-generation-1","undefined","External Cleaning Manchester | Cladding &amp; Grounds Jet Wash | Entire FM","External Grounds, Cladding &amp; Jet Washing in Manchester","undefined - external cleaning manchester","200 OK","https://www.entirefm.com/external-cleaning-manchester","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-birmingham","/facilities-management-birmingham","YES","YES","wix-generation-1-and-2","undefined","Facilities Management Birmingham | Commercial FM | EntireFM","Facilities Management in Birmingham","undefined - facilities management birmingham","200 OK","https://www.entirefm.com/facilities-management-birmingham","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-blog","/facilities-management-blog","YES","YES","wix-generation-1","undefined","Facilities Management Blog | Guides &amp; Industry Insight | EntireFM","Facilities Management Insights","undefined - facilities management blog","200 OK","https://www.entirefm.com/facilities-management-blog","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-bradford","/facilities-management-bradford","YES","YES","wix-generation-1-and-2","undefined","Facilities Management Bradford | Commercial FM | EntireFM","Facilities Management in Bradford","undefined - facilities management bradford","200 OK","https://www.entirefm.com/facilities-management-bradford","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-chesterfield","/facilities-management-chesterfield","YES","YES","wix-generation-1-and-2","undefined","Facilities Management Chesterfield | Commercial FM | EntireFM","Facilities Management in Chesterfield","undefined - facilities management chesterfield","200 OK","https://www.entirefm.com/facilities-management-chesterfield","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-derby","/facilities-management-derby","YES","YES","wix-generation-1-and-2","undefined","Facilities Management Derby | Commercial FM | EntireFM","Facilities Management in Derby","undefined - facilities management derby","200 OK","https://www.entirefm.com/facilities-management-derby","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/construction-facilities-management","/facilities-management-for/construction-facilities-management","YES","YES","wix-generation-2","undefined","Facilities Management For/Construction Facilities Management | Facilities Management &amp; Engineering | Entire FM","Facilities Management For/Construction Facilities Management — Facilities Management &amp; Engineering","undefined - facilities management for/construction facilities management","200 OK","https://www.entirefm.com/facilities-management-for/construction-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/education-%26-schools-facilities-management","/facilities-management-for/education-%26-schools-facilities-management","YES","YES","wix-generation-2","undefined","Schools Facilities Management | Academy Trust Building Care | Entire FM","Schools &amp; Multi-Academy Trust Facilities Management Safeguarding, Statutory Safety &amp; Term-Time Agility","undefined - facilities management for/education %26 schools facilities management","200 OK","https://www.entirefm.com/facilities-management-for/education-%26-schools-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/healthcare-facilities-management","/facilities-management-for/healthcare-facilities-management","YES","YES","wix-generation-2","undefined","Medical Clinic Facilities Management | Healthcare Estate FM | Entire FM","Medical Clinic &amp; Health Centre Facilities Management Hygiene, Reliability &amp; Statutory Compliance","undefined - facilities management for/healthcare facilities management","200 OK","https://www.entirefm.com/facilities-management-for/healthcare-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/hotels-%26-resort-facilities-management","/facilities-management-for/hotels-%26-resort-facilities-management","YES","YES","wix-generation-2","undefined","Hotels &amp; Resort Facilities Management | Luxury Estate FM | Entire FM","Resort &amp; Luxury Hotel Facilities Management 24/7 Guest Comfort &amp; Discreet Maintenance","undefined - facilities management for/hotels %26 resort facilities management","200 OK","https://www.entirefm.com/facilities-management-for/hotels-%26-resort-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/industrial-facilities-management","/facilities-management-for/industrial-facilities-management","YES","YES","wix-generation-2","undefined","Industrial Estate Facilities Management | Heavy Plant FM | Entire FM","Industrial Estate &amp; Factory Facilities Management Plant Reliability &amp; Uptime","undefined - facilities management for/industrial facilities management","200 OK","https://www.entirefm.com/facilities-management-for/industrial-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/leisure-centre-facilities-management","/facilities-management-for/leisure-centre-facilities-management","YES","YES","wix-generation-2","undefined","Facilities Management For/Leisure Centre Facilities Management | Facilities Management &amp; Engineering | Entire FM","Facilities Management For/Leisure Centre Facilities Management — Facilities Management &amp; Engineering","undefined - facilities management for/leisure centre facilities management","200 OK","https://www.entirefm.com/facilities-management-for/leisure-centre-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/logistics-%26-distribution-facilities-management","/facilities-management-for/logistics-%26-distribution-facilities-management","YES","YES","wix-generation-2","undefined","Logistics &amp; Distribution Facilities Management | Supply Hub FM | Entire FM","Distribution Hub &amp; Supply Chain Facilities Management 24/7 Throughput &amp; Loading Bay Availability","undefined - facilities management for/logistics %26 distribution facilities management","200 OK","https://www.entirefm.com/facilities-management-for/logistics-%26-distribution-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/managing-agent-facilities-management","/facilities-management-for/managing-agent-facilities-management","YES","YES","wix-generation-2","undefined","Managing Agent Facilities Management | Portfolio Compliance | Entire FM","Facilities Management for Commercial Managing Agents Multi-Site Governance &amp; Single-Source Accountability","undefined - facilities management for/managing agent facilities management","200 OK","https://www.entirefm.com/facilities-management-for/managing-agent-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/offices%2C-corporate-%26-co-working","/facilities-management-for/offices%2C-corporate-%26-co-working","YES","YES","wix-generation-2","undefined","Facilities Management For/Offices%2C Corporate %26 Co Working | Facilities Management &amp; Engineering | Entire FM","Facilities Management For/Offices%2C Corporate %26 Co Working — Facilities Management &amp; Engineering","undefined - facilities management for/offices%2C corporate %26 co working","200 OK","https://www.entirefm.com/facilities-management-for/offices%2C-corporate-%26-co-working","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/facilities-management-for/residential-facilities-management","/facilities-management-for/residential-facilities-management","YES","YES","wix-generation-2","undefined","Residential Estate Facilities Management | Gated Community FM | Entire FM","Private Residential Estate &amp; Gated Community Facilities Management Building Safety Act Compliance &amp; Resident Wellbeing","undefined - facilities management for/residential facilities management","200 OK","https://www.entirefm.com/facilities-management-for/residential-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
