Current Production URL,Final Status,New Architecture Destination,Action Type,Canonical Enforced,Notes
"/contract-cleaning-chesterfield","200 OK","/contract-cleaning-chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning-leeds","200 OK","/contract-cleaning-leeds","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning-lincoln","200 OK","/contract-cleaning-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning-london","200 OK","/contract-cleaning-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning-manchester","200 OK","/contract-cleaning-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning-sheffield","200 OK","/contract-cleaning-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/copy-of-helpdesk-registration","200 OK","/copy-of-helpdesk-registration","KEEP_200","self","1:1 Preservation with enriched content & design"
"/copy-of-industrial-cleaning","200 OK","/copy-of-industrial-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/copy-of-what-is-facilities-manageme","200 OK","/copy-of-what-is-facilities-manageme","KEEP_200","self","1:1 Preservation with enriched content & design"
"/derby-facilities-management","200 OK","/derby-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/doncaster-facilities-management","200 OK","/doncaster-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/education-cleaning","200 OK","/education-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/education-facilities-management","200 OK","/education-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/employment-portal","200 OK","/employment-portal","KEEP_200","self","1:1 Preservation with enriched content & design"
"/external-cleaning-birmingham","200 OK","/external-cleaning-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/external-cleaning-lincoln","200 OK","/external-cleaning-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/external-cleaning-london","200 OK","/external-cleaning-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/external-cleaning-manchester","200 OK","/external-cleaning-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-birmingham","200 OK","/facilities-management-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-blog","200 OK","/facilities-management-blog","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-bolton","200 OK","/facilities-management-bolton","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-bradford","200 OK","/facilities-management-bradford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-bury","200 OK","/facilities-management-bury","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-chesterfield","200 OK","/facilities-management-chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-derby","200 OK","/facilities-management-derby","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-doncaster","200 OK","/facilities-management-doncaster","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/construction-facilities-management","200 OK","/facilities-management-for/construction-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/education-%26-schools-facilities-management","200 OK","/facilities-management-for/education-%26-schools-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/healthcare-facilities-management","200 OK","/facilities-management-for/healthcare-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/hotels-%26-resort-facilities-management","200 OK","/facilities-management-for/hotels-%26-resort-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/industrial-facilities-management","200 OK","/facilities-management-for/industrial-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/leisure-centre-facilities-management","200 OK","/facilities-management-for/leisure-centre-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/logistics-%26-distribution-facilities-management","200 OK","/facilities-management-for/logistics-%26-distribution-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/managing-agent-facilities-management","200 OK","/facilities-management-for/managing-agent-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/offices%2C-corporate-%26-co-working","200 OK","/facilities-management-for/offices%2C-corporate-%26-co-working","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/residential-facilities-management","200 OK","/facilities-management-for/residential-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/restaurant-%26-hospitality-facilities-management","200 OK","/facilities-management-for/restaurant-%26-hospitality-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/retail-%26-shopping-centre-facilities-management","200 OK","/facilities-management-for/retail-%26-shopping-centre-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/sports-venue-facilities-management","200 OK","/facilities-management-for/sports-venue-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/stadium-%26-arena-facilities-management","200 OK","/facilities-management-for/stadium-%26-arena-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-for/warehouse-%26-distribution","200 OK","/facilities-management-for/warehouse-%26-distribution","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-grimsby","200 OK","/facilities-management-grimsby","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-in-telford","200 OK","/facilities-management-in-telford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-in-the-midlands","200 OK","/facilities-management-in-the-midlands","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-leeds","200 OK","/facilities-management-leeds","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-lincoln","200 OK","/facilities-management-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-liverpool","200 OK","/facilities-management-liverpool","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-london","200 OK","/facilities-management-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-manchester","200 OK","/facilities-management-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-midlands","200 OK","/facilities-management-midlands","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-nottingham","200 OK","/facilities-management-nottingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-offices","200 OK","/facilities-management-offices","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-oxford","200 OK","/facilities-management-oxford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-preston","200 OK","/facilities-management-preston","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-rotherham","200 OK","/facilities-management-rotherham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-services","200 OK","/facilities-management-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-services-lond","200 OK","/facilities-management-services-lond","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-sheffield","200 OK","/facilities-management-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-team","200 OK","/facilities-management-team","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-telford","200 OK","/facilities-management-telford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/facilities-management-wigan","200 OK","/facilities-management-wigan","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fire-emergency-systems","200 OK","/fire-emergency-systems","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-birmingham","200 OK","/fm-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-bolton","200 OK","/fm-bolton","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-bradford","200 OK","/fm-bradford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-bury","200 OK","/fm-bury","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-chesterfield","200 OK","/fm-chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-client-info","200 OK","/fm-client-info","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-derby","200 OK","/fm-derby","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-doncaster","200 OK","/fm-doncaster","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-grimsby","200 OK","/fm-grimsby","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-leeds","200 OK","/fm-leeds","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-lincoln","200 OK","/fm-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-liverpool","200 OK","/fm-liverpool","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-london","200 OK","/fm-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-manchester","200 OK","/fm-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-matlock","200 OK","/fm-matlock","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-nottingham","200 OK","/fm-nottingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-oxford","200 OK","/fm-oxford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-preston","200 OK","/fm-preston","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-rotherham","200 OK","/fm-rotherham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-services-sheffield","200 OK","/fm-services-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-sheffield","200 OK","/fm-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-supply-chain","200 OK","/fm-supply-chain","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-supply-form","200 OK","/fm-supply-form","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-support-n-contact","200 OK","/fm-support-n-contact","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-support-n-contact/facilities-management-glossary","200 OK","/fm-support-n-contact/facilities-management-glossary","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-technical-services","200 OK","/fm-technical-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-telford","200 OK","/fm-telford","KEEP_200","self","1:1 Preservation with enriched content & design"
"/fm-wigan","200 OK","/fm-wigan","KEEP_200","self","1:1 Preservation with enriched content & design"
"/gates-barriers","200 OK","/gates-barriers","KEEP_200","self","1:1 Preservation with enriched content & design"
"/grimsby-facilities-management","200 OK","/grimsby-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/grounds-maintenance","200 OK","/grounds-maintenance","KEEP_200","self","1:1 Preservation with enriched content & design"
"/hard-services","200 OK","/hard-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/healthcare-facilities-management","200 OK","/healthcare-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/helpdesk","200 OK","/helpdesk","KEEP_200","self","1:1 Preservation with enriched content & design"
"/helpdesk-registration","200 OK","/helpdesk-registration","KEEP_200","self","1:1 Preservation with enriched content & design"
"/hot-tub-relocation","200 OK","/hot-tub-relocation","KEEP_200","self","1:1 Preservation with enriched content & design"
"/hotel-facilities-management","200 OK","/hotel-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/hvac-contractor","200 OK","/hvac-contractor","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning","200 OK","/industrial-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-birmingham","200 OK","/industrial-cleaning-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-chesterfield","200 OK","/industrial-cleaning-chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-derby","200 OK","/industrial-cleaning-derby","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-leeds","200 OK","/industrial-cleaning-leeds","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-lincoln","200 OK","/industrial-cleaning-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-london","200 OK","/industrial-cleaning-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-manchester","200 OK","/industrial-cleaning-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-nottingham","200 OK","/industrial-cleaning-nottingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-cleaning-sheffield","200 OK","/industrial-cleaning-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-facilities-management","200 OK","/industrial-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/industrial-fm-lincoln","200 OK","/industrial-fm-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/internal-cleaning","200 OK","/internal-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/items","200 OK","/items","KEEP_200","self","1:1 Preservation with enriched content & design"
"/job-board","200 OK","/job-board","KEEP_200","self","1:1 Preservation with enriched content & design"
"/landmark-facilities-management","200 OK","/landmark-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/landscaping","200 OK","/landscaping","KEEP_200","self","1:1 Preservation with enriched content & design"
"/leeds-facilities-management","200 OK","/leeds-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/lincoln-facilities-management","200 OK","/lincoln-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/lincoln-facilities-management-areas","200 OK","/lincoln-facilities-management-areas","KEEP_200","self","1:1 Preservation with enriched content & design"
"/liverpool-facilities-management","200 OK","/liverpool-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/logistics-facilities-management","200 OK","/logistics-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/london-facilities-management","200 OK","/london-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/london-facilities-management-areas","200 OK","/london-facilities-management-areas","KEEP_200","self","1:1 Preservation with enriched content & design"
"/manchester-facilities-management","200 OK","/manchester-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/manchester-facilities-managment","200 OK","/manchester-facilities-managment","KEEP_200","self","1:1 Preservation with enriched content & design"
"/manchester-office-cleaning","200 OK","/manchester-office-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mechanical-electrical","200 OK","/mechanical-electrical","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mechanical-electrical/access-control","200 OK","/mechanical-electrical/access-control","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mechanical-electrical/emergency-light-testing","200 OK","/mechanical-electrical/emergency-light-testing","KEEP_200","self","1:1 Preservation with enriched content & design"
"/media-digital-displays","200 OK","/media-digital-displays","KEEP_200","self","1:1 Preservation with enriched content & design"
"/medical-cleaning","200 OK","/medical-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mobile-crane-hire","200 OK","/mobile-crane-hire","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mobile-crane-hire/chesterfield","200 OK","/mobile-crane-hire/chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mobile-crane-hire/sheffield","200 OK","/mobile-crane-hire/sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/mobile-crane-hire/truck-mount-crane-hire","200 OK","/mobile-crane-hire/truck-mount-crane-hire","KEEP_200","self","1:1 Preservation with enriched content & design"
"/nottingham-facilities-management","200 OK","/nottingham-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/office-cleaning","200 OK","/office-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/office-cleaning-lincoln","200 OK","/office-cleaning-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/office-cleaning-london","200 OK","/office-cleaning-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/oxford-facilities-management","200 OK","/oxford-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/plumbing-gas","200 OK","/plumbing-gas","KEEP_200","self","1:1 Preservation with enriched content & design"
"/portfolio","200 OK","/portfolio","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/facilities-management-in-different-sectors-similarities-differences-and-the-need-for-agility","200 OK","/post/facilities-management-in-different-sectors-similarities-differences-and-the-need-for-agility","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/facilities-management-services-in-lincoln","200 OK","/post/facilities-management-services-in-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/facilities-management-to-birmingham","200 OK","/post/facilities-management-to-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/the-importance-of-regular-maintenance-and-inspections","200 OK","/post/the-importance-of-regular-maintenance-and-inspections","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/the-importance-of-regular-maintenance-and-inspections-1","200 OK","/post/the-importance-of-regular-maintenance-and-inspections-1","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-are-hard-services","200 OK","/post/what-are-hard-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-are-hard-services-in-facilities-management","200 OK","/post/what-are-hard-services-in-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-are-hard-services-in-facilities-management-1","200 OK","/post/what-are-hard-services-in-facilities-management-1","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-is-facilities-management","200 OK","/post/what-is-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-is-facilities-management-1","200 OK","/post/what-is-facilities-management-1","KEEP_200","self","1:1 Preservation with enriched content & design"
"/post/what-is-facilities-management-1-1","200 OK","/post/what-is-facilities-management-1-1","KEEP_200","self","1:1 Preservation with enriched content & design"
"/ppm","200 OK","/ppm","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing","200 OK","/pressure-washing","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing-birmingham","200 OK","/pressure-washing-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing-lincoln","200 OK","/pressure-washing-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing-london","200 OK","/pressure-washing-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing-manchester","200 OK","/pressure-washing-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/pressure-washing-sheffield","200 OK","/pressure-washing-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/preston-facilities-management","200 OK","/preston-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/privacy-policy","200 OK","/privacy-policy","KEEP_200","self","1:1 Preservation with enriched content & design"
"/property-manager-fm-services","200 OK","/property-manager-fm-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/public-sector-facilities-management","200 OK","/public-sector-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/reactive-cleaning-services","200 OK","/reactive-cleaning-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/residential-cleaning","200 OK","/residential-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/residential-facilities-management","200 OK","/residential-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/residential-fm-lincoln","200 OK","/residential-fm-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/restaurant-facilities-management","200 OK","/restaurant-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/retail-cleaning","200 OK","/retail-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/retail-facilities-management","200 OK","/retail-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/retail-fm-lincoln","200 OK","/retail-fm-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/rotherham-facilities-management","200 OK","/rotherham-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/safety-critical-emergency-systems","200 OK","/safety-critical-emergency-systems","KEEP_200","self","1:1 Preservation with enriched content & design"
"/security-services","200 OK","/security-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/service-station-fm","200 OK","/service-station-fm","KEEP_200","self","1:1 Preservation with enriched content & design"
"/services","200 OK","/services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/sheffield-facilities-management","200 OK","/sheffield-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/soft-services","200 OK","/soft-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/sport-centre-facilities-management","200 OK","/sport-centre-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/telford-facilities-management","200 OK","/telford-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/terms-and-conditions","200 OK","/terms-and-conditions","KEEP_200","self","1:1 Preservation with enriched content & design"
"/tier-one-facilities-management","200 OK","/tier-one-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/tierone-facilities-managment","200 OK","/tierone-facilities-managment","KEEP_200","self","1:1 Preservation with enriched content & design"
"/transport-facilities-management","200 OK","/transport-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/vending-supplier","200 OK","/vending-supplier","KEEP_200","self","1:1 Preservation with enriched content & design"
"/warehouse-facilities-management","200 OK","/warehouse-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/washroom-management","200 OK","/washroom-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/what-is-facilities-management","200 OK","/what-is-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/wigan-facilities-management","200 OK","/wigan-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/window-cleaning","200 OK","/window-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
"/working-at-heights","200 OK","/working-at-heights","KEEP_200","self","1:1 Preservation with enriched content & design"
