"Site","Site Address","Site Town","Site County","Site Postcode","Associated Customers"
"335 - 337 High Street London E15 2TF","335 - 337 High Street","London",,"E15 2TF",
"369 Chatsworth Road",,,,,"Dales & Peaks Property"
"36 Comelybank Drive","36 Comelybank Drive","MEXBOROUGH",,"S64 0EP",
"375 Nechells Park Road Nechells Birmingham B7 5NT","375 Nechells Park Road
Nechells","Birmingham",,"B7 5NT",
"37 Comely Bank Drive",,"MEXBOROUGH",,"S64 0FD",
"37 Marsh Parade, Newcastle Under-Lyme","37 Marsh Parade","Newcastle Under-Lyme",,"ST5 1BT","Rory Mack"
"38 Comely Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"38 Top Road","38 Top Road
Calow","Chesterfield",,"S44 5AA","Dales & Peaks Property"
"39 Comelybank Drive","39 Comelybank Drive","MEXBOROUGH",,"S64 0FD",
"3 Bramble Way, Clover Nook Industrial Estate Somercotes Derbyshire Alfreton DE55 4RH","3 Bramble Way, Clover Nook Industrial Estate

Somercotes

Derbyshire","Alfreton",,"DE55 4RH",
"3 St. Paul's Place",,"Sheffield","South Yorkshire","S1 2JF","Allegheny Technologies Limited"
"40 Comely Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"412 Witham Wharf",,,,,
"413 Witham Wharf",,,,,
"41 Comelybank Drive","41 Comelybank Drive","MEXBOROUGH",,"S64 0FD",
"41 Northenden Road","Sale",,,"M33 2DL",
"44-52 Trinity Road","Trinity Road","Cleethorpes","Lincolnshire",,
"46-48 Stanley Street",,"Liverpool",,"L1 6AL",
"5 Charterhouse Square London EC1M 6PX","5 Charterhouse Square","London",,"EC1M 6PX",
"5F The Glass Yard Sheffield Road Chesterfield S41 8JY","5F The Glass Yard
Sheffield Road","Chesterfield",,"S41 8JY","EDS Homecare"
"5 Victoria Avenue",,"Harrogate",,,
"613 Witham Wharf",,,,,
"65 North Road","65 North Road
St Andrews","Bristol",,"BS6 5AQ",
"69 Comelybank Drive","69 Comelybank Drive","MExbor",,"S64 0FD",
"6 and 9 Tallys End Chesterfield Derbys S43 4WP","6 and 9 Tallys End","Chesterfield","Derbys","S43 4WP","Avant Homes"
"70 Bromsgrove Road","70 Bromsgrove Road","Redditch",,"B97 4RN",
"70 Comelybank Drive","70 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0EP",
"72 Comely Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"72 Francis Road Edgbaston Birmingham B16 8SP","72 Francis Road
Edgbaston","Birmingham",,"B16 8SP","Wyatt International Ltd"
"74 Comelybank Drive","74 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0EP",
"74 Watson Park Spennymoor Durham DL16 6NB","74 Watson Park
Spennymoor","Durham",,"DL16 6NB",
"76-86 Hardys Road","Hardys Road
Cleethorpes","Cleethorpes","Lincolnshire",,
"76 Comely Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"7-9 Gedling Street","7-9 Gedling Street","Nottingham",,"NG1 1DS",
"7 Chapel Mews","Wellington Street","Chesterfield","Derbsyhire","S43 2BG","Dales & Peaks Property"
"87 Comley Bank Drive",,"MEXBOROUGH",,"S64 0FD",
"88 Comelybank Drive","88 Comelybank Drive","Mexborough",,"S64 0EP",
"88 North Street Lofts","North Street","Leeds",,"LS2 7PN",
"8 Fort Fareham Industrial Site Fareham PO14 1FD","8 Fort Fareham Industrial Site","Fareham",,"PO14 1FD",
"8 Herbal Hill Farringdon London EC1R 5EJ","8 Herbal Hill
Farringdon","London",,"EC1R 5EJ",
"8 Knighton Close","Hasland","Chesterfield",,"s41 0xl","Dales & Peaks Property"
"8 Shaw Street","8 Shaw Street","Chesterfield",,"S41 9AY","Dales & Peaks Property"
"90 Comelybank Drive","90 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0FD",
"90 The Promenade","Cheltenham","Gloucestershire",,"GL50 1ND",
"92 Comelybank Drive","92 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0EP",
"92 Orme Street Newcastle-under-Lyme ST5 2NQ","92 Orme Street","Newcastle-under-Lyme",,"ST5 2NQ",
"94 Comley Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"97 Comleybank Drive",,"MEXBOROUGH",,"S64 0FD",
"9 Bank Parade",,"Preston",,"PR1 3TA",
"Abacus Land 1 (Holdco 1) Limited C/o Mainstay",,,,,
"Abacus Land 4 Ltd c/o Principal Estate Man",,,,,
"Acorn Business Centre","8-9 Parkway Offices
Acorn Business Park
Moss Road","Grimbsy",,"DN32 0LW",
"Acorn Business Centre","Moss Road","Grimsby",,"DN32 0LW","AWS Charted Surveyors & Property Consultants"
"Acorn Centre","Langley Mill, Nottingham","Langley Mill","Nottinghamshire","NG16 4AF","Skyscape Property ManagementTJ Morris Limited"
"Acre House","72 Long Acre
Covent Garden","London",,"WC2E 9JS",
"Adelaide & St Georges House",,"St Albans",,"AL3 5BE",
"Adiuvo",,,,,
"Adriatic Land 10 Ltd c/o Principle Estate Man",,,,,
"Adriatic Land 3 Ltd c/o Principal Estate Management",,,,,
"Adriatic Land 3 Ltd c/o Principle Estate Management",,,,,
"Albany Meadows","Albany Lane
Basall Common","Coventry",,"CV7 7SR",
"Albion House","Saville Street","Sheffield",,"S4 7UD",
"Alfreton","75 High Street","Alfreton",,"DE55 7BE",
"(Alkota) Unit 2 Old Brick Works Lane","Unit 2 Old Brick Works Lane","Chesterfield",,"S417JD","Alkota Group Limited"
"Allerton House Management (Leeds) Limited c/o Venture Residential Management",,,,,
"Allied Business Centre",,,,,
"Allied Business Centre & Warehouse","Potter Place 
Skelmersdale","Lancashire",,"WN8 9PH",
"Allington House","Tarragon Road","Maidstone",,"ME16 0UF",
"Altitude Property Management c/o Principle Estates",,,,,
"Annie Smith Way","Wheatcroft Road, Birkby,","Huddersfield",,"HD2 2GB",
"Apartment 138 3 Rumford Place Liverpool l39bw","Apartment 138
3 Rumford Place","Liverpool",,"l39bw",
"Apartment 302 Piccadilly Heights Wain Avenue Chesterfield Derbyshire S41 0JF","Apartment 302
Piccadilly Heights
Wain Avenue","Chesterfield","Derbyshire","S41 0JF","Ian jenkins"
"Apartment 4","Apartment 4, Jewel Court, 29 Legge Lane,","Birmingham",,"B1 3LE","Essence Property Investment & Management Ltd"
"Apartment 741 Witham Wharf",,,,,
"Apex Business Park","Wilford","Nottingham",,"NG11 7DD",
"APV House","Speedwell Road","Newcastle Under-Lyme",,"ST5 7RG","Rory Mack"
"Arden House Developments Ltd c/o Lambert Smith Hampton",,,,,
"Arnolde Close","VH Arnolde Close
Plot 4 Wardens Site
Sir Thomas Longley Road
Medway City Estate
Rochester, 
Kent
ME2 4QW","Rochester",,"ME2 4QW","VolkerWessels"
"Ashbooke Park","Parkside Lane","Leeds",,"LS14 6UF",
"Ashgate Manor","Ashgate Road","Chesterfield",,"S40 4AA",
"Ashgate Road Old Brampton Chesterfield S42 7JD","Ashgate Road
Old Brampton","Chesterfield",,"S42 7JD",
"Ash-Lea Court","Greengate Lane","Manchester",,"M25 3JR",
"Ash-Lea Court,","Greengate Lane","Manchester",,"M25 3JR",
"Assystems","Stanier Way, Derby","Derby","England","DE21 6BF",
"Atlas Mill","Bentnick Street","Bolton",,"BL1 4JB",
"Avon House","The Old Meadow","Shewsbury",,"SY2 6AB",
"Axis III","Alma Road","Banbury",,"OX16 4RQ",
"Axis XI","Verney Road","Banbury",,"OX16 4QW",
"Bakewell","10 Portland Square","Bakewell",,"DE45 1HA",
"Baltimore Group / Friends Of The Earth","Leeds Office
Devonshire House",,"Leeds",,
"Bamford (Hathersage)","Castleton Road, Hathersage, Hope Valley, S32 1EG","Hope Valley",,"S32 1EG","VolkerRail Limited"
"Barberry Properties Ltd c/o Centrick Centrick Property",,,,,
"Barley Green","634-644 Warwick Road","Solihull",,"B91 1AB",
"Baronet House","Springmeadow Road","Birmingham",,"B15 2GA","Invest Ground Rents Limited"
"Barrett Street","10 Barrett Street
Marylebone","London",,"W1U 1BA",
"Basi House","Wortham Road","Gravesend","London","DA11 0DU",
"Baskerville House","Volkerrail
Ground Floor
Baskerville House
Birmingham
B1 1BD","Birmingham",,"B1 1BD","VolkerRail Limited"
"Bass Real Estate No 3",,,,,
"Beacon Retail Park",,,,"ST18 OWL","Rory Mack"
"Beechwoods Estate and Stable Court","Beechwoods Estate, Elmete Lane, Leeds, West Yorkshire,","Leeds",,"LS8 2LQ.","AWS Charted Surveyors & Property Consultants"
"Beetham Tower","10 Holloway Circus",,,"B1 1BY","BH Ground Rents Limited c/o Rendall & Rittner"
"Benbow Quay","Cotton Hill","Shewsbury","Shropshire","SY1 2DL",
"Bentley Wharf","Bentley Lane","Willenhall",,"WV12 4AA",
"Bescar Lane, Scarisbrick",,"Ormskirk","Lancashire","L40 9RX","VolkerRail Limited"
"Beyond The Bayleaf (At The Batch House)","The Batch House
Sheffield Road","Chesterfield",,"S41 8JY","PLJS Hospitality Limited"
"big jobs",,,,,
"Birchwood Shopping Centre & Jasmine Walk Flats",,,,,
"Bishopsgate (Burton St, Wakefield) Mgmt Co Ltd",,,,,
"Blackpen Limited c/o Principle Estate Management",,,,,
"Blackthorn House","Blackthorn Avenue","Chigwell",,"IG7 4FW",
"Blyth - Moto",,,,,
"BMW Smart Centre","Hockley Industrial estate","Birmingham",,"B18 6PT",
"Bolsover","12-14 Cavendish Square","Bolsover",,"S44 6DB",
"Boots Chesterfield Low Pavement","35-37 Low Pavement","Chesterfield","Derbyshire","S40 1PB",
"Bordon Blocks Residents Company Limited c/o Preim",,,,,
"Bostock Hall","Bostock Rd","Middlewich",,"CW10 9JN","Rory Mack"
"Botany Commercial Park",,,,,
"Braemore apartments","268 Ecclesall Road south","Sheffield",,"s11 9nu",
"Brampton Leisure Birmingham ltd",,,,,
"Braque Building","86 Ewer Street","London",,"SE1 0ST",
"Brearley Hall","Woodmere Drive","Chesterfield",,"S41 9TA",
"Brecon Heights","72 Horsham Road","Crawley",,"RH11 8PP",
"Brent Cross","Unit A15 Prince Charles Drive
Hendon","London",,"NW4 3FP",
"Brickworks Williams Court","Trade Street","Cardiff",,"CF10 5DQ",
"Bridgewater Court","2 Egerton Road, Woodthorpe","nottingham",,"NG5 4EY",
"Bridgewater House 58-60 Whitworth Street Manchester M1 6 LT","Bridgewater House
58-60 Whitworth Street","Manchester",,"M1 6 LT",
"Brigante Properties Limited c/o Mainstay Group",,,,,
"Brigante Properties Limited c/o Principle Estate Management",,,,,
"Brindley Court","Egerton Road 
Woodthorpe","Nottingham",,"NG5 4BJ",
"Bristol Court","248-250 Bristol Road","Edgbaston",,"B5 7SL",
"Broadfield Court","First Floor
Unit 2 Broadfield Court,
Sheffield,
S8 0XF","Sheffield",,"S8 0XF","VolkerRail Limited"
"Broadoak Man Co Ltd c/o Principle Estate Management",,,,,
"Broadway Apartments (Don't log job on this site, use individual blocks)","Salford Quays",,,,
"Brompton Road","1, 163 Brompton Road
Knights Bridge","London",,"SW3 1PY",
"Brooklands Apartments","Esplanade Gardens","Scarborough",,"YO11 2AW",
"Brooklands Apartments Ltd c/o Principle Estate Management",,,,,
"Buckshaw Central Management Co Ltd c/o Lambert Smith Hampton",,,,,
"Buckshaw Village","Buckshaw Village","CHORLEY",,"PR7 7HZ",
"Building 300","Trinity Park, 
Bickenhill Lane","Birmingham",,"B37 7ES",
"Bullrush","Unit 2
Bullrush Grove
Balby","Doncaster",,"DN4 8SL","VolkerRail Limited"
